Date;Price;Open;High;Low;Vol.;Change %
2021-05-03 00:00:00;66,0975;69,35;69,36;64,64;317380000;-0,0231
2021-05-10 00:00:00;65,168;65,19;66,09;64,05;174900000;-0,015
2021-05-17 00:00:00;63,494;64;64,6;61,6;109370000;-0,0066
2021-05-24 00:00:00;64,648;63,28;66,29;62,1;183470000;-0,0058
2021-05-31 00:00:00;63,91;65,24;66,05;61,82;124420000;0,0021
2021-06-07 00:00:00;64,77;63,29;65,97;62,76;126410000;0,004
2021-06-14 00:00:00;66,686;64,9;68,75;63,78;180140000;-0,0062
2021-06-21 00:00:00;64,406;67,65;68,19;61,67;220130000;0,007
2021-06-28 00:00:00;61,542;63,87;64,36;59,14;216460000;0,0043
2021-07-05 00:00:00;59,652;60,19;61,19;58,51;109350000;-0,0112
2021-07-12 00:00:00;59,37;59;61,24;57,3;130590000;0,0049
2021-07-19 00:00:00;62,358;61,1;63,9;60,18;159570000;-0,0002
2021-07-26 00:00:00;65,228;62,49;67,28;61,72;226270000;0,0086
2021-08-02 00:00:00;68,908;67;69,79;67;166550000;0,0051
2021-08-09 00:00:00;69,102;69,25;70,45;67;95630000;-0,0158
2021-08-16 00:00:00;68,634;67,7;69,3;67,26;67640000;-0,005
2021-08-23 00:00:00;67,628;68;69,47;65,8;93630000;0,0066
2021-08-30 00:00:00;71,208;69;72,48;69;110180000;0,0009
2021-09-06 00:00:00;76,528;71,7;79,51;71,44;186030000;0,0331
2021-09-13 00:00:00;77,682;79,44;79,78;75,1;125510000;-0,0017
2021-09-20 00:00:00;74,984;78;79,65;71,51;220520000;-0,0259
2021-09-27 00:00:00;75,204;72,63;78,9;72,05;355040000;-0,0075
2021-10-04 00:00:00;69,016;72,59;72,63;66,43;167400000;-0,0361
2021-10-11 00:00:00;70,206;67,14;72,82;65,51;288020000;0,0132
2021-10-18 00:00:00;69,8;72,21;72,3;67,54;168370000;0,0222
2021-10-25 00:00:00;69,682;70,28;71,39;67,95;227700000;-0,0241
2021-11-01 00:00:00;67,084;68;69,18;64,65;157850000;0,0187
2021-11-08 00:00:00;64,6425;67,2;67,49;63,13;90100000;0,0096
2021-11-15 00:00:00;63,8;64,59;65,94;62,62;118820000;-0,009
2021-11-22 00:00:00;63,152;63,01;65,63;61,44;171410000;-0,0264
2021-11-29 00:00:00;62,154;62,21;63,49;60,61;126790000;0,0006
2021-12-06 00:00:00;61,268;59,9;63,67;58,81;154440000;-0,0145
2021-12-13 00:00:00;62,684;61,81;65;60,9;137380000;-0,0388
2021-12-20 00:00:00;63,42;61,78;65,77;56,99;144500000;0,0043
2021-12-27 00:00:00;66,612;65,25;68,4;64,5;96490000;0,0242
2022-01-03 00:00:00;69,5625;68,36;70,87;68,15;70840000;0,017
2022-01-10 00:00:00;70,5375;70,9;72;67,38;103090000;-0,0108
2022-01-17 00:00:00;67,146;69,87;70,64;63;208060000;-0,0227
2022-01-24 00:00:00;61,204;64,5;65,07;56,73;287690000;-0,0605
2022-01-31 00:00:00;58,788;58,5;62,43;54,78;261580000;0,0215
2022-02-07 00:00:00;60,53;62;62,28;59,31;178920000;0,0057
2022-02-14 00:00:00;64;60,15;67,07;60;232770000;0,0199
2022-02-21 00:00:00;61,42;64;66,64;52,03;290050000;-0,1461
2022-02-28 00:00:00;51,13;52,5;58,89;35,2;278550000;-0,0155
2022-03-07 00:00:00;;;;;0;
2022-03-14 00:00:00;;;;;0;
2022-03-21 00:00:00;;;;;0;
2022-03-28 00:00:00;44,54666667;46,9;51,24;41,03;112100000;-0,0358
